Image Name                     PID Session Name        Session#    Mem Usage
msedge.exe                   12388 Console                    2     17В 820 K
msedge.exe                   15404 Console                    2     18В 104 K
msedge.exe                   17252 Console                    2      9В 092 K
MsMpEng.exe                   5764 Services                   0    303В 596 K
NisSrv.exe                    8996 Services                   0     16В 936 K
nvcontainer.exe               3256 Console                    2     43В 688 K
nvcontainer.exe               5488 Services                   0     38В 688 K
NVDisplay.Container.exe       2532 Services                   0     34В 544 K
NVDisplay.Container.exe      10788 Console                    2     44В 944 K
NVIDIA Web Helper.exe         1380 Console                    2     13В 876 K
OfficeClickToRun.exe          5208 Services                   0     46В 764 K
OneDrive.exe                  6968 Console                    2    136В 428 K
PhoneExperienceHost.exe       3488 Console                    2    130В 252 K
ps64ldr.exe                   7680 Console                    2      5В 728 K
PSAdminAgent.exe              7420 Console                    2     11В 640 K
PSAgent.exe                   7800 Console                    2      2В 748 K
PSSvc.exe                     5708 Services                   0     14В 896 K
punto.exe                    18944 Console                    2     28В 072 K
QAAdminAgent.exe              7296 Console                    2     13В 824 K
QAAgent.exe                   6300 Console                    2      9В 748 K
QASvc.exe                    15984 Services                   0     10В 144 K
Registry                       156 Services                   0     52В 184 K
RstMwService.exe              5612 Services                   0      6В 908 K
RtkAudUService64.exe          5572 Services                   0     10В 680 K
RtkAudUService64.exe          8584 Console                    2     10В 048 K
RuntimeBroker.exe             1800 Console                    2     15В 788 K
RuntimeBroker.exe             6268 Console                    2     29В 432 K
RuntimeBroker.exe            13592 Console                    2     20В 860 K
RuntimeBroker.exe            15616 Console                    2     28В 120 K
RuntimeBroker.exe            15916 Console                    2     20В 484 K
RuntimeBroker.exe            16412 Console                    2      8В 012 K
RuntimeBroker.exe            18896 Console                    2     31В 356 K
RuntimeBroker.exe            20132 Console                    2     31В 716 K
SearchApp.exe                 1828 Console                    2    196В 112 K
SearchFilterHost.exe         15820 Services                   0      8В 304 K
SearchIndexer.exe            11096 Services                   0     50В 856 K
SearchProtocolHost.exe       19284 Services                   0     14В 372 K
Secure System                   88 Services                   0     40В 536 K
SecurityHealthService.exe    14068 Services                   0     15В 048 K
SecurityHealthSystray.exe     9088 Console                    2     10В 612 K
service_update.exe            5892 Services                   0     11В 208 K
service_update.exe            6076 Services                   0      6В 684 K
services.exe                   964 Services                   0     11В 096 K
SgrmBroker.exe                5932 Services                   0      9В 568 K
ShellExperienceHost.exe      15056 Console                    2     89В 520 K
sihost.exe                    2036 Console                    2     30В 704 K
smartscreen.exe               2620 Console                    2     24В 652 K
smss.exe                       704 Services                   0      1В 144 K
spoolsv.exe                   4892 Services                   0     15В 340 K
sqlceip.exe                   6036 Services                   0     46В 812 K
sqlwriter.exe                 5584 Services                   0      7В 860 K
StartMenuExperienceHost.e    13004 Console                    2     88В 684 K
svchost.exe                    696 Services                   0      8В 504 K
svchost.exe                   1020 Services                   0     34В 096 K
svchost.exe                   1200 Services                   0      8В 616 K
svchost.exe                   1212 Services                   0     17В 628 K
svchost.exe                   1264 Services                   0      9В 320 K
svchost.exe                   1448 Services                   0     12В 964 K
svchost.exe                   1452 Console                    2     14В 428 K
svchost.exe                   1508 Services                   0      5В 008 K
svchost.exe                   1516 Services                   0      8В 376 K
svchost.exe                   1528 Services                   0     11В 244 K
svchost.exe                   1548 Services                   0     12В 652 K
svchost.exe                   1584 Services                   0      5В 380 K
svchost.exe                   1644 Services                   0      6В 028 K
svchost.exe                   1700 Services                   0     10В 492 K
svchost.exe                   1712 Services                   0     11В 956 K
svchost.exe                   1760 Services                   0      8В 360 K
svchost.exe                   1804 Services                   0     16В 616 K
svchost.exe                   1888 Services                   0      8В 680 K
svchost.exe                   1956 Services                   0      9В 472 K
svchost.exe                   1984 Services                   0      8В 212 K
svchost.exe                   1988 Services                   0     19В 872 K
svchost.exe                   2044 Services                   0     14В 192 K
svchost.exe                   2180 Services                   0      8В 920 K
svchost.exe                   2220 Services                   0     19В 088 K
svchost.exe                   2324 Services                   0     15В 920 K
svchost.exe                   2392 Services                   0      8В 728 K
svchost.exe                   2500 Services                   0      7В 300 K
svchost.exe                   2648 Services                   0     12В 480 K
svchost.exe                   2664 Services                   0      8В 264 K
svchost.exe                   2748 Services                   0      7В 128 K
svchost.exe                   2784 Services                   0      8В 000 K
svchost.exe                   2788 Services                   0     13В 684 K
svchost.exe                   2796 Services                   0      5В 804 K
svchost.exe                   2804 Services                   0      7В 848 K
svchost.exe                   2824 Services                   0     11В 036 K
svchost.exe                   2956 Services                   0     10В 276 K
svchost.exe                   3028 Services                   0      8В 388 K
svchost.exe                   3268 Services                   0      7В 396 K
svchost.exe                   3356 Services                   0      8В 992 K
svchost.exe                   3364 Services                   0      9В 788 K
svchost.exe                   3516 Services                   0      6В 852 K
svchost.exe                   3580 Services                   0     25В 532 K
svchost.exe                   3628 Services                   0     16В 524 K
svchost.exe                   3760 Services                   0      6В 336 K
svchost.exe                   3784 Services                   0     19В 208 K
svchost.exe                   4056 Services                   0      6В 556 K
svchost.exe                   4064 Services                   0      9В 988 K
svchost.exe                   4124 Services                   0     10В 984 K
svchost.exe                   4160 Services                   0     16В 420 K
svchost.exe                   4264 Services                   0      7В 396 K
svchost.exe                   4304 Services                   0     18В 500 K
svchost.exe                   4532 Services                   0     13В 180 K
svchost.exe                   4788 Services                   0     12В 300 K
svchost.exe                   4984 Services                   0      9В 288 K
svchost.exe                   5040 Services                   0      7В 940 K
svchost.exe                   5084 Services                   0     10В 860 K
svchost.exe                   5132 Services                   0      5В 696 K
svchost.exe                   5168 Services                   0     14В 328 K
svchost.exe                   5192 Services                   0     46В 132 K
svchost.exe                   5228 Services                   0      9В 012 K
svchost.exe                   5312 Services                   0      7В 684 K
svchost.exe                   5592 Services                   0      8В 252 K
svchost.exe                   5628 Services                   0      5В 388 K
svchost.exe                   5640 Services                   0      6В 240 K
svchost.exe                   5676 Services                   0     10В 220 K
svchost.exe                   5824 Services                   0     20В 100 K
svchost.exe                   5836 Services                   0      7В 296 K
svchost.exe                   5940 Services                   0      5В 296 K
svchost.exe                   6252 Services                   0      8В 596 K
svchost.exe                   6404 Services                   0      7В 292 K
svchost.exe                   6604 Services                   0      6В 140 K
svchost.exe                   7100 Services                   0     13В 248 K
svchost.exe                   7600 Services                   0      7В 084 K
svchost.exe                   9488 Services                   0     22В 360 K
svchost.exe                   9512 Services                   0      8В 248 K
svchost.exe                   9580 Console                    2     44В 984 K
svchost.exe                   9676 Console                    2     10В 396 K
svchost.exe                   9912 Services                   0     20В 332 K
svchost.exe                  10052 Console                    2     38В 460 K
svchost.exe                  10292 Services                   0      8В 892 K
svchost.exe                  10500 Services                   0     11В 476 K
svchost.exe                  12496 Services                   0     10В 004 K
svchost.exe                  14204 Console                    2     34В 880 K
svchost.exe                  16492 Services                   0      9В 612 K
svchost.exe                  16788 Services                   0     24В 368 K
svchost.exe                  17580 Services                   0     10В 792 K
svchost.exe                  18416 Console                    2      9В 548 K
svchost.exe                  19656 Services                   0     12В 760 K
System                           4 Services                   0        148 K
System Idle Process              0 Services                   0          8 K
SystemSettings.exe            5604 Console                    2     12В 212 K
SystemSettingsBroker.exe     18648 Console                    2     34В 844 K
taskhostw.exe                14012 Console                    2     23В 208 K
tasklist.exe                 18148 Console                    2      9В 960 K
Teams.exe                     7912 Console                    2    209В 984 K
Teams.exe                     9544 Console                    2     87В 980 K
Teams.exe                    10124 Console                    2     67В 588 K
Teams.exe                    10540 Console                    2    329В 880 K
Teams.exe                    13764 Console                    2    150В 776 K
Teams.exe                    13812 Console                    2    161В 812 K
Teams.exe                    15364 Console                    2    126В 920 K
Teams.exe                    16852 Console                    2     64В 656 K
Teams.exe                    18240 Console                    2     47В 224 K
TextInputHost.exe            17468 Console                    2     57В 104 K
unsecapp.exe                  2600 Console                    2      8В 436 K
unsecapp.exe                  7372 Services                   0      8В 112 K
UserOOBEBroker.exe           13568 Console                    2     10В 992 K
uTorrent.exe                  2552 Console                    2     31В 592 K
uvfPlayer.exe                19256 Console                    2     86В 844 K
vpnagent.exe                  4076 Services                   0     19В 216 K
WhatsApp.exe                 16388 Console                    2    192В 476 K
wininit.exe                    892 Services                   0      6В 484 K
winlogon.exe                 17424 Console                    2     11В 440 K
wlanext.exe                   4652 Services                   0      6В 312 K
WmiPrvSE.exe                  7344 Services                   0     10В 880 K
WmiPrvSE.exe                  7364 Services                   0     18В 716 K
WMIRegistrationService.ex     5804 Services                   0     13В 136 K
WUDFHost.exe                  1084 Services                   0     17В 408 K
WUDFHost.exe                  2640 Services                   0      8В 244 K
xTendUtility.exe              7628 Services                   0      7В 576 K
xTendUtilityService.exe       6216 Services                   0     16В 844 K
YandexDisk2.exe              14620 Console                    2     69В 044 K
